question_num,topics
001,venn diagrams|addition rule; multiplication rule
002,sample space and events|addition rule; multiplication rule
003,addition rule; multiplication rule|set functions; axioms of probability
004,independent events|addition rule; multiplication rule
005,venn diagrams|sample space and events|set functions; axioms of probability
006,conditional probability
007,conditional probability|law of total probability
008,venn diagrams|sample space and events|addition rule; multiplication rule
009,conditional probability|law of total probability
010,independent events|addition rule; multiplication rule
011,conditional probability|law of total probability
012,conditional probability|sample space and events|addition rule; multiplication rule
013,geometric distribution|pmf; pdf
014,sample space and events|addition rule; multiplication rule
015,geometric distribution|linear combinations of independent discrete r.v.’s
016,independent events|addition rule; multiplication rule
017,normal distribution|linear combinations of independent normal r.v.’s
018,bayes theorem|conditional probability|law of total probability
019,bayes theorem|law of total probability|conditional probability
020,conditional probability|law of total probability|bayes theorem
021,bayes theorem|law of total probability|conditional probability
022,bayes theorem|conditional probability|law of total probability
023,conditional probability|pmf; pdf
024,bayes theorem|conditional probability|law of total probability
025,conditional probability|bayes theorem
026,bayes theorem|conditional probability|law of total probability
027,bayes theorem|binomial distribution|conditional probability
028,exponential distribution|cdf
029,poisson distribution|variance; standard deviation
030,binomial distribution
031,binomial distribution
032,conditional probability|pmf; pdf
033,cdf|pmf; pdf
034,conditional probability|random variables (discrete vs continuous)|pmf; pdf
035,exponential distribution|e/var/sd of loss and payment r.v.
036,conditional probability|pmf; pdf
037,binomial distribution|independent events
038,insurance payments: deductible|cdf|pmf; pdf
039,binomial distribution|independent events
040,conditional probability|normal distribution|independent events
041,negative binomial distribution
042,loss r.v. vs payment r.v. (limited loss)|expected value; moments
043,random variables (discrete vs continuous)|expected value; moments|pmf; pdf
044,exponential distribution|expected value; moments
045,exponential distribution|e/var/sd of loss and payment r.v.|expected value; moments
046,geometric distribution|e/var/sd of loss and payment r.v.
047,poisson distribution|expected value; moments
048,insurance payments: deductible|e/var/sd of loss and payment r.v.
049,insurance payments: deductible|e/var/sd of loss and payment r.v.
050,insurance payments: benefit limits|e/var/sd of loss and payment r.v.
051,insurance payments: deductible|e/var/sd of loss and payment r.v.
052,expected value; moments|pmf; pdf
053,insurance payments: deductible|(continuous) uniform distribution|e/var/sd of loss and payment r.v.
054,cdf|mode; median; percentiles|pmf; pdf
055,variance; standard deviation
056,cdf|expected value; moments|variance; standard deviation
057,(continuous) uniform distribution|variance; standard deviation
058,expected value; moments|pmf; pdf|variance; standard deviation
